PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONING_DISTRICT,ZONING_CLASSIFICATION,LOT,PLAN,BLOCK,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
030-700-574,STRATA,830170950418,83017095,CD-1 (71),Comprehensive Development,418,EPS5144,,311,2005,433.0,MARINE DR SW,V5X 0H5,"STRATA LOT 418, PLAN EPS5144, DISTR","ICT LOT 311, GROUP 1, NEW WESTMINST","ER LAND DISTRICT, & DL 323, TOGETHE",R WITH AN INTEREST IN THE COMMON PR,OPERTY IN PROPORTION TO THE UNIT EN,387000.0,227000.0,2020.0,171135.0,260725.0,,,1796.37,12,2020
007-093-632,LAND,691153360000,69115336,RS-7,Single Detached House,29,VAP1308,517,472,,868.0,17TH AVE W,V5Z 1V2,LOT 29  BLOCK 517  PLAN VAP1308  DI,STRICT LOT 472  NEW WESTMINSTER,,,,2530000.0,17300.0,2023.0,2480000.0,17000.0,1924.0,1960.0,,9,2023
002-439-891,LAND,692037310000,69203731,RS-5,Single Detached House,36,VAP4335,29,139,,3771.0,18TH AVE W,V6S 1B3,LOT 36  BLOCK 29  PLAN VAP4335  DIS,TRICT LOT 139  NWD OF LOTS 1 & 2.,,,,2462000.0,393000.0,2023.0,2493000.0,363000.0,1985.0,2000.0,,3,2023
013-554-271,LAND,212650410000,21265041,RT-5,Two-Family Dwelling,B,VAP2653,A,264A,,2541.0,PRINCE ALBERT ST,V5T 3W9,LOT B  BLOCK A  PLAN VAP2653  DISTR,"ICT LOT 264A  NWD GROUP 1, OF LOTS","13 & 14, OF BLK 157.",,,945000.0,55600.0,2020.0,1067000.0,52100.0,1911.0,1965.0,3310.44,13,2020
007-372-736,LAND,120722620000,12072262,RS-5,One-Family Dwelling,7,VAP6011,747,526,,4662.0,PINE CRES,V6J 4L2,LOT 7  BLOCK 747  PLAN VAP6011  DIS,TRICT LOT 526  NEW WESTMINSTER,,,,3737000.0,335000.0,2020.0,4785000.0,292000.0,1924.0,1985.0,15964.3,8,2020
002-706-717,LAND,797261450000,79726145,RS-1,One-Family Dwelling,28,VAP2580,3,336,,2333.0,51ST AVE E,V5S 1P5,LOT 28  BLOCK 3  PLAN VAP2580  DIST,"RICT LOT 336  NWD PART SW 1/4, OF L",OT A.,,,1120000.0,152000.0,2020.0,1313000.0,153000.0,1985.0,1985.0,5298.47,24,2020
019-000-189,STRATA,126606930087,12660693,CD-1 (273),Comprehensive Development,87,LMS1631,,541,1302,811.0,HELMCKEN ST,V6Z 1B1,LOT 87  PLAN LMS1631  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 55/10000,SHARE IN COM PROP THEREIN.,,,329000.0,143000.0,2020.0,376000.0,146000.0,1994.0,1994.0,1380.92,29,2020
024-676-331,STRATA,720308070027,72030807,CD-1 (314),Comprehensive Development,27,LMS4083,,36,309,3535.0,CROWLEY DR,V5R 6G5,LOT 27  PLAN LMS4083  DISTRICT LOT,36  NEW WESTMINSTER UNDIV 1027/3617,6 SHARE IN COM PROP THEREIN.,,,347000.0,204000.0,2020.0,372000.0,209000.0,2000.0,2000.0,1612.05,23,2020
026-711-702,STRATA,134606920006,13460692,DD,Comprehensive Development,6,BCS1903,,541,,1060.0,SEYMOUR ST,V6B 3M6,LOT 6  PLAN BCS1903  DISTRICT LOT 5,41  NEW WESTMINSTER GROUP 1.,,,,699000.0,245000.0,2022.0,740000.0,260000.0,2006.0,2006.0,2542.13,29,2022
024-556-971,STRATA,600116040441,60011604,CD-1 (318),Comprehensive Development,441,LMS3942,,185,2302,1367.0,ALBERNI ST,V6E 4R9,"STRATA LOT 441, PLAN LMS3942, DISTR","ICT LOT 185, NEW WESTMINSTER LAND D","ISTRICT, TOGETHER WITH AN INTEREST",IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,907000.0,335000.0,2021.0,864000.0,332000.0,1999.0,1999.0,3629.75,26,2021
023-938-561,STRATA,157606020482,15760602,CD-1 (324),Comprehensive Development,482,LMS2995,,FC,3008,1009.0,EXPO BLVD,V6Z 2V9,"STRATA LOT 482, PLAN LMS2995, DISTR","ICT LOT FC, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,474000.0,220000.0,2020.0,547000.0,222000.0,1997.0,1997.0,2030.43,30,2020
026-132-176,STRATA,134602080008,13460208,DD,Comprehensive Development,8,BCS1076,,541,409,822.0,SEYMOUR ST,V6B 1L7,LOT 8  PLAN BCS1076  DISTRICT LOT 5,41  NEW WESTMINSTER GROUP 1,,,,410000.0,181000.0,2020.0,469000.0,187000.0,2005.0,2005.0,1729.07,29,2020
030-172-357,STRATA,654090950111,65409095,CD-1 (552),Comprehensive Development,111,EPS4149,,526,712,2033.0,10TH AVE W,V6J 0H1,LOT 111  PLAN EPS4149  DISTRICT LOT,526  NWD TOGETHER WITH AN INTEREST,IN THE COMMON PROPERTY IN PROPORTI,ON TO THE UNIT ENTITLEMENT OF THE S,TRATA LOT AS SHOWN ON FORM V.,427000.0,252000.0,2023.0,388000.0,244000.0,2017.0,2017.0,,2,2023
024-683-108,STRATA,643130990056,64313099,C-3A,Commercial,56,LMS4091,,526,412,1425.0,6TH AVE W,V6H 4G5,LOT 56  PLAN LMS4091  DISTRICT LOT,526  NEW WESTMINSTER UNDIV 1160/248,613 SHARE IN COM PROP THEREIN.,,,1085000.0,303000.0,2021.0,1032000.0,351000.0,2000.0,2000.0,4056.42,7,2021
004-517-415,LAND,270724440000,27072444,RM-7N,Multiple Dwelling,7,VAP1388,B,393,,4688.0,NANAIMO ST,V5N 5J7,LOT 7  BLOCK B  PLAN VAP1388  DISTR,"ICT LOT 393  NWD OF LOT 8 , & BLK 1",0.,,,1474000.0,192000.0,2023.0,1385000.0,192000.0,1987.0,1987.0,,23,2023
013-262-891,STRATA,626097180002,62609718,RT-9,Duplex,2,VAS2363,,526,,1878.0,WHYTE AVE,V6J 1B2,LOT 2  PLAN VAS2363  DISTRICT LOT 5,26  NWD UNDIV 1/2 SHARE IN COM PROP,THEREIN TOGETHER WITH AN INTEREST,IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,2671000.0,595000.0,2023.0,2576000.0,545000.0,1989.0,2000.0,,2,2023
030-850-096,STRATA,275727700023,27572770,RM-9AN,Multiple Dwelling,23,EPS6046,,52,221,4858.0,SLOCAN ST,V5R 2A3,LOT 23  PLAN EPS6046  DISTRICT LOT,52  NWD  BCAGROUP 1 TOGETHER WITH A,N INTEREST IN THE COMMON PROPERTY I,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,664000.0,264000.0,2023.0,610000.0,249000.0,2019.0,2019.0,,23,2023
027-048-101,STRATA,172595060233,17259506,CD-1 (265),Comprehensive Development,233,BCS2313,,FC,305,688.0,ABBOTT ST,V6B 0B9,"STRATA LOT 233, PLAN BCS2313, DISTR","ICT LOT FC, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,375000.0,166000.0,2020.0,406000.0,166000.0,2007.0,2007.0,1582.79,26,2020
023-762-969,STRATA,712040040010,71204004,C-2,Commercial,10,LMS2798,,2027,204,3590.0,26TH AVE W,V6S 1N9,LOT 10  PLAN LMS2798  DISTRICT LOT,2027  NEW WESTMINSTER UNDIV 721/266,86 SHARE IN COM PROP THEREIN.,,,414000.0,176000.0,2020.0,452000.0,182000.0,1997.0,1997.0,1726.15,3,2020
012-029-246,LAND,686073960000,68607396,RS-5,Single Detached House,10,VAP3944,440A,526,,2508.0,14TH AVE W,V6K 2W7,LOT 10  BLOCK 440A  PLAN VAP3944  D,ISTRICT LOT 526  NEW WESTMINSTER,,,,3213000.0,1743000.0,2023.0,3159000.0,1773000.0,2017.0,2018.0,,2,2023
011-475-951,LAND,696061720000,69606172,RS-1,Single Detached House,14,VAP4608,11,139,,2926.0,20TH AVE W,V6L 1H5,LOT 14  BLOCK 11  PLAN VAP4608  DIS,TRICT LOT 139  NWD OF LOT 3.,,,,2400000.0,946000.0,2023.0,2440000.0,970000.0,2011.0,2011.0,,4,2023
029-483-352,STRATA,182638950171,18263895,CD-1 (531),Comprehensive Development,171,EPS2328,,200A,1407,1783.0,MANITOBA ST,V5Y 0K1,"STRATA LOT 171, PLAN EPS2328, DISTR","ICT LOT 200A, GROUP 1, NEW WESTMINS","TER LAND DISTRICT, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,599000.0,284000.0,2023.0,544000.0,281000.0,2015.0,2015.0,,13,2023
018-171-362,STRATA,601110180008,60111018,RM-5C,Multiple Dwelling,8,LMS789,,185,501,1778.0,ALBERNI ST,V6G 1B2,LOT 8  PLAN LMS789  DISTRICT LOT 18,5  NEW WESTMINSTER UNDIV 1024/16262,SHARE IN COM PROP THEREIN.,,,601000.0,318000.0,2021.0,590000.0,315000.0,1993.0,1993.0,2685.77,27,2021
008-718-369,LAND,255575940000,25557594,RM-3A,Multiple Dwelling,B,13296,10,184,,2140.0,WALL ST,V5L 1B4,LOT B  BLOCK 10  PLAN 13296  DISTRI,CT LOT 184  NEW WESTMINSTER,,,,9705000.0,607000.0,2022.0,9705000.0,154000.0,1970.0,1970.0,770.0,14,2022
018-358-900,STRATA,617121030091,61712103,CD-1 (252),Comprehensive Development,91,LMS981,,541,1806,907.0,BEACH AVE,V6Z 2R3,"STRATA LOT 91, PLAN LMS981, DISTRIC","T LOT 541, NEW WESTMINSTER LAND DIS","TRICT, TOGETHER WITH AN INTEREST IN",THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STRA,538000.0,206000.0,2022.0,508000.0,195000.0,1993.0,1993.0,2003.54,30,2022
013-591-681,LAND,655026560000,65502656,RS-1,One-Family Dwelling,1,VAP2595,148,540,,4344.0,9TH AVE W,V6R 2C7,LOT 1  BLOCK 148  PLAN VAP2595  DIS,"TRICT LOT 540  NWD PART W 1/2, OF L",OT 3.,,,2316000.0,166000.0,2022.0,1966000.0,170000.0,1930.0,1985.0,8554.85,1,2022
016-530-560,STRATA,690163520009,69016352,RM-4,Multiple Dwelling,9,VAS2749,,472,204,668.0,16TH AVE W,V5Z 1S6,LOT 9  PLAN VAS2749  DISTRICT LOT 4,72  NEW WESTMINSTER UNDIV 4896/1000,00 SHARE IN COM PROP THEREIN.,,,832000.0,189000.0,2023.0,714000.0,189000.0,1990.0,1990.0,,9,2023
005-628-547,STRATA,636070200001,63607020,RT-8,Two-Family Dwelling,1,VAS670,,192,,2764.0,2ND AVE W,V6K 1K3,LOT 1  PLAN VAS670  DISTRICT LOT 19,2  NWD UNDIV 50/100 SHARE IN COM PR,OP THEREIN TOGETHER WITH AN INTERES,T IN THE COMMON PROPERTY IN PROPORT,ION TO THE UNIT ENTITLEMENT OF THE,1395000.0,105000.0,2020.0,1550000.0,65800.0,1979.0,1979.0,5586.53,2,2020
030-698-952,STRATA,830170950256,83017095,CD-1 (71),Comprehensive Development,256,EPS5144,,311,3202,455.0,MARINE DR SW,V5X 0H3,"STRATA LOT 256, PLAN EPS5144, DISTR","ICT LOT 311, GROUP 1, NEW WESTMINST","ER LAND DISTRICT, & DL 323, TOGETHE",R WITH AN INTEREST IN THE COMMON PR,OPERTY IN PROPORTION TO THE UNIT EN,864000.0,456000.0,2022.0,806000.0,426000.0,2019.0,2019.0,3554.66,12,2022
011-097-540,LAND,741144140000,74114414,RS-5,One-Family Dwelling,2,VAP5886,933,526,,1278.0,38TH AVE W,V6M 1R1,LOT 2  BLOCK 933  PLAN VAP5886  DIS,TRICT LOT 526  NEW WESTMINSTER,,,,3221000.0,1557000.0,2020.0,3795000.0,1557000.0,1996.0,1996.0,20710.9,8,2020
029-483-506,STRATA,182638950186,18263895,CD-1 (531),Comprehensive Development,186,EPS2328,,200A,1701,1783.0,MANITOBA ST,V5Y 0K1,"STRATA LOT 186, PLAN EPS2328, DISTR","ICT LOT 200A, GROUP 1, NEW WESTMINS","TER LAND DISTRICT, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,616000.0,296000.0,2023.0,553000.0,281000.0,2015.0,2015.0,,13,2023
026-251-973,STRATA,589119250041,58911925,CD-1 (363),Comprehensive Development,41,BCS1233,,,2606,1077.0,CORDOVA ST W,V6C 2C6,"STRATA LOT 41, PLAN BCS1233, GROUP","1, NEW WESTMINSTER LAND DISTRICT, P","HBI, TOGETHER WITH AN INTEREST IN T",HE COMMON PROPERTY IN PROPORTION TO,THE UNIT ENTITLEMENT OF THE STRATA,1001000.0,308000.0,2022.0,920000.0,283000.0,2004.0,2004.0,3525.04,28,2022
018-258-221,STRATA,157604960156,15760496,DD,Comprehensive Development,156,LMS869,,,2307,950.0,CAMBIE ST,V6B 5X5,LOT 156  PLAN LMS869  NEW WESTMINST,"ER DISTRICT LOT FALSE CREEK, UNDIV",549/100020 SHARE IN COMM PROP THERE,IN.,,631000.0,310000.0,2022.0,605000.0,297000.0,1993.0,1993.0,2534.05,29,2022
025-847-040,STRATA,138606030105,13860603,DD,Comprehensive Development,105,BCS682,,541,1408,1001.0,RICHARDS ST,V6B 1J6,LOT 105  PLAN BCS682  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 56/10091,SHARE IN COM PROP THEREIN.,,,477000.0,214000.0,2023.0,470000.0,205000.0,2004.0,2004.0,,29,2023
030-262-305,STRATA,153840510034,15384051,I-2,Industrial,34,EPS4483,,319,105,8855.0,LAUREL ST,V6P 3V9,LOT 34  PLAN EPS4483  DISTRICT LOT,"319  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,1156000.0,459000.0,2020.0,1101000.0,459000.0,2017.0,2017.0,10802.9,18,2020
029-886-040,STRATA,638186850136,63818685,CD-1 (534),Comprehensive Development,136,EPS3495,,2037,1801,111.0,1ST AVE E,V6A 0E9,"STRATA LOT 136, PLAN EPS3495, DISTR","ICT LOT 2037, GROUP 1, NEW WESTMINS","TER LAND DISTRICT, & DL 200A, TOGET",HER WITH AN INTEREST IN THE COMMON,PROPERTY IN PROPORTION TO THE UNIT,1163000.0,581000.0,2020.0,1340000.0,581000.0,2016.0,2016.0,5102.39,13,2020
014-809-702,LAND,210717710000,21071771,RT-2,Two-Family Dwelling,7,VAP1392,10,391,,4471.0,FRASER ST,V5V 4G6,LOT 7  BLOCK 10  PLAN VAP1392  DIST,"RICT LOT 391  NWD EXC E 7' NOW RD,","OF LOTS 172 TO 174, TO BLK 13 & 22","TO 25, & DL 392.",,1092000.0,304000.0,2020.0,1270000.0,282000.0,1998.0,1998.0,5834.24,16,2020
011-244-500,LAND,706194860000,70619486,RS-1,One-Family Dwelling,11,VAP5112,2,301,,386.0,23RD AVE E,V5V 1X5,LOT 11  BLOCK 2  PLAN VAP5112  DIST,RICT LOT 301  NEW WESTMINSTER,,,,1490000.0,418000.0,2020.0,1619000.0,405000.0,2008.0,2008.0,7220.2,15,2020
003-576-761,LAND,805199650000,80519965,RS-1,One-Family Dwelling,9,VAP3689,2,654,,635.0,55TH AVE E,V5X 1N6,LOT 9  BLOCK 2  PLAN VAP3689  DISTR,"ICT LOT 654  NWD PART S 1/2, GROUP","1, AMD (SEE 217466L).",,,1466000.0,255000.0,2020.0,1750000.0,257000.0,1986.0,1986.0,6717.09,17,2020
002-625-512,LAND,694037440000,69403744,RS-5,Single Detached House,8,VAP4367,30,139,,3716.0,19TH AVE W,V6S 1C6,LOT 8  BLOCK 30  PLAN VAP4367  DIST,RICT LOT 139  NWD GROUP 1.,,,,2470000.0,1201000.0,2023.0,2500000.0,1190000.0,2012.0,2013.0,,3,2023
015-161-544,LAND,641250650000,64125065,RT-5,Two-Family Dwelling,6,VAP722,D,264A,,1825.0,6TH AVE E,V5N 1P4,LOT 6  BLOCK D  DISTRICT LOT 264A,"NEW WESTMINSTER SUBURBAN BLOCK 146,","PLAN 722 & 1771, SUBSIDY LOT 2.",,,1312000.0,33800.0,2022.0,1155000.0,30000.0,1945.0,1980.0,5373.16,14,2022
003-572-838,STRATA,615118580054,61511858,RM-5A,Multiple Dwelling,54,VAS178,,185,803,1146.0,HARWOOD ST,V6E 3V1,LOT 54  PLAN VAS178  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 59/6339 S,HARE IN COM PROP THEREIN.,,,452000.0,138000.0,2021.0,431000.0,143000.0,1974.0,1974.0,1626.82,27,2021
011-785-781,STRATA,813176940132,81317694,CD-1 (179),Comprehensive Development,132,VAS1960,8,322,104,7680.0,COLUMBIA ST,V5X 4S8,LOT 132  BLOCK 8  PLAN VAS1960  DIS,TRICT LOT 322  NEW WESTMINSTER UNDI,V 105/3339 SHARE IN COM PROP THEREI,N PHASE 5.,,583000.0,239000.0,2022.0,539000.0,221000.0,1988.0,1988.0,2213.59,12,2022
030-748-879,STRATA,710174040035,71017404,CD-1 (641),Comprehensive Development,35,EPS4442,,526,206,288.0,KING EDWARD AVE W,V5Y 2J2,LOT 35  PLAN EPS4442  DISTRICT LOT,526  NWD  BCAGROUP 1 TOGETHER WITH,AN INTEREST IN THE COMMON PROPERTY,IN PROPORTION TO THE UNIT ENTITLEME,NT OF THE STRATA LOT AS SHOWN ON FO,906000.0,277000.0,2023.0,838000.0,284000.0,2019.0,2019.0,,9,2023
014-187-507,LAND,270604420000,27060442,RS-1,One-Family Dwelling,5,VAP1945,8,THSL,,1156.0,NANAIMO ST,V5L 4T4,LOT 5  BLOCK 8  SECTION 22  PLAN VA,P1945  DISTRICT LOT THSL  NWD PART,W 1/2.,,,1097000.0,48900.0,2020.0,1247000.0,49000.0,1949.0,1975.0,5049.54,20,2020
004-351-568,LAND,130727060000,13072706,RS-5,Single Detached House,1,VAP6011,811,526,,1488.0,MINTO CRES,V6H 2J5,LOT 1  BLOCK 811  PLAN VAP6011  DIS,TRICT LOT 526  NEW WESTMINSTER,,,,4190000.0,4135000.0,2023.0,4001000.0,3919000.0,2010.0,2011.0,,8,2023
025-528-513,STRATA,138612930028,13861293,DD,Comprehensive Development,28,BCS147,,541,310,1295.0,RICHARDS ST,V6B 1B7,LOT 28  PLAN BCS147  DISTRICT LOT 5,41  NEW WESTMINSTER UNDIV 84/12158,SHARE IN COM PROP THEREIN.,,,463000.0,273000.0,2020.0,543000.0,273000.0,2002.0,2002.0,2153.3,29,2020
025-206-371,STRATA,161606550373,16160655,CD-1 (324),Comprehensive Development,373,LMS4555,,FC,,1062.0,PACIFIC BLVD,V6Z 3A1,"STRATA LOT 373, PLAN LMS4555, DISTR","ICT LOT FC, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,443000.0,239000.0,2021.0,407000.0,239000.0,2002.0,2002.0,1993.15,30,2021
004-703-081,LAND,631267250000,63126725,RT-5,Duplex,14,VAP1944,141,264A,,2325.0,2ND AVE E,V5N 1G2,LOT 14  BLOCK 141  PLAN VAP1944  DI,STRICT LOT 264A  NEW WESTMINSTER,,,,1725000.0,139000.0,2023.0,1675000.0,143000.0,1930.0,1980.0,,14,2023
027-702-634,STRATA,664191940104,66419194,C-3A,Commercial,104,BCS3166,,301,,2735.0,SOPHIA ST,V5T 3L1,LOT 104  PLAN BCS3166  DISTRICT LOT,"301  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,18600.0,7300.0,2020.0,16900.0,7700.0,2008.0,2008.0,132.71,13,2020
011-126-892,LAND,57707350000,5770735,RS-5,One-Family Dwelling,19,VAP5532,X,139,,4007.0,QUESNEL DR,V6L 2X4,LOT 19  BLOCK X  PLAN VAP5532  DIST,RICT LOT 139  NEW WESTMINSTER,,,,2758000.0,553000.0,2021.0,2579000.0,555000.0,1998.0,1998.0,12215.4,3,2021
029-771-617,STRATA,170825880163,17082588,CD-1 (535),Comprehensive Development,163,EPS3172,,323,2204,8031.0,NUNAVUT LANE,V5X 0C9,LOT 163  PLAN EPS3172  DISTRICT LOT,323  NWD  BCAGROUP 1 TOGETHER WITH,AN INTEREST IN THE COMMON PROPERTY,IN PROPORTION TO THE UNIT ENTITLEM,ENT OF THE STRATA LOT AS SHOWN ON F,362000.0,170000.0,2022.0,351000.0,165000.0,2016.0,2016.0,1432.64,12,2022
024-518-182,STRATA,648170960009,64817096,C-3A,Commercial,9,LMS3900,,302,,402.0,8TH AVE W,V5Y 1N9,LOT 9  PLAN LMS3900  DISTRICT LOT 3,02  NEW WESTMINSTER UNDIV 357/59561,SHARE IN COM PROP THEREIN.,,,513000.0,64600.0,2022.0,486000.0,64800.0,1999.0,1999.0,5284.8,13,2022
010-230-564,LAND,300763740000,30076374,RS-1,Single Detached House,4,VAP8156,12,338,,6370.0,KERR ST,V5S 3C1,LOT 4  BLOCK 12  PLAN VAP8156  DIST,RICT LOT 338  NWD PART W 1/2.,,,,2364000.0,32000.0,2023.0,2136410.0,32000.0,1951.0,1951.0,,24,2023
027-525-791,STRATA,648170950032,64817095,C-3A,Commercial,32,BCS2922,,302,321,425.0,8TH AVE W,V5Y 3Z5,LOT 32  PLAN BCS2922  DISTRICT LOT,"302  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,670000.0,255000.0,2023.0,625000.0,244000.0,2008.0,2008.0,,13,2023
019-060-793,STRATA,120606920018,12060692,CD-1 (386),Comprehensive Development,18,LMS1689,,541,703,1088.0,BURRARD ST,V6Z 2R9,LOT 18  PLAN LMS1689  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 330/2164,65 SHARE IN COM PROP THEREIN.,,,85300.0,63800.0,2022.0,85300.0,63700.0,1994.0,1994.0,401.53,26,2022
024-572-713,STRATA,148602040092,14860204,CD-1 (346),Comprehensive Development,92,LMS3970,,541,1407,822.0,HOMER ST,V6B 6M3,LOT 92  PLAN LMS3970  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 677/8515,5 SHARE IN COM PROP THEREIN.,,,558000.0,243000.0,2020.0,638000.0,248000.0,1999.0,1999.0,2343.47,29,2020
028-092-805,STRATA,650095080067,65009508,C-3A,Commercial,67,BCS3655,,526,608,2528.0,MAPLE ST,V6J 0B5,LOT 67  PLAN BCS3655  DISTRICT LOT,"526  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOW ON FORM 1,519000.0,352000.0,2021.0,507000.0,358000.0,2009.0,2009.0,2545.49,2,2021
013-285-793,LAND,733056150000,73305615,RS-5,One-Family Dwelling,34,VAP2972,47,2027,,2983.0,35TH AVE W,V6N 2M5,LOT 34  BLOCK 47  PLAN VAP2972  DIS,TRICT LOT 2027  NWD OF LOT 2.,,,,2089000.0,683000.0,2021.0,1933000.0,693000.0,2004.0,2005.0,9799.16,5,2021
014-794-136,LAND,246755650000,24675565,RS-1,One-Family Dwelling,5,VAP1391,2,734,,6135.0,BEATRICE ST,V5P 3R3,LOT 5  BLOCK 2  PLAN VAP1391  DISTR,ICT LOT 734  NWD GROUP 1.,,,,1476000.0,256000.0,2022.0,1277000.0,248000.0,1993.0,1993.0,6457.16,19,2022
006-398-081,STRATA,646232640018,64623264,RM-4,Multiple Dwelling,18,VAS1289,,264A,211,1450.0,7TH AVE E,V5N 1R8,LOT 18  PLAN VAS1289  DISTRICT LOT,264A  NEW WESTMINSTER UNDIV 56/2382,SHARES IN COM PROP THEREIN.,,,374000.0,90700.0,2020.0,383000.0,95200.0,1983.0,1983.0,1359.57,14,2020
014-129-621,LAND,823123690000,82312369,RS-1,One-Family Dwelling,54,VAP1982,2,325,,1629.0,64TH AVE W,V6P 2P2,LOT 54  BLOCK 2  PLAN VAP1982  DIST,RICT LOT 325  NWD AMD (SEE 234758L),.,,,2162000.0,462000.0,2021.0,1981000.0,468000.0,1995.0,1995.0,9349.62,12,2021
002-867-184,STRATA,646159660013,64615966,FM-1,Multiple Dwelling,13,VAS1076,,526,13,730.0,7TH AVE W,V5Z 1B8,LOT 13  PLAN VAS1076  DISTRICT LOT,526  NEW WESTMINSTER UNDIV 1103/168,18 SHARE IN COM PROP THEREIN.,,,1060000.0,111000.0,2022.0,950000.0,100000.0,1982.0,1982.0,3153.41,7,2022
006-407-773,STRATA,641234510025,64123451,RM-4,Multiple Dwelling,25,VAS1318,,264A,303,1595.0,6TH AVE E,V5N 5S1,STRATA LOT 25  PLAN VAS1318  DISTRI,CT LOT 264A  NWD  TOGETHER WITH AN,INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,285000.0,50000.0,2021.0,283000.0,51700.0,1983.0,1983.0,979.04,14,2021
024-121-932,STRATA,640058320010,64005832,RM-4,Multiple Dwelling,10,LMS3195,,192,5,3036.0,4TH AVE W,V6K 1R4,LOT 10  PLAN LMS3195  DISTRICT LOT,192  NEW WESTMINSTER UNDIV 945/4160,8 SHARE IN COM PROP THEREIN.,,,705000.0,201000.0,2021.0,659000.0,202000.0,1998.0,1998.0,2647.79,2,2021
026-753-952,STRATA,618129380050,61812938,CD-1 (366),Comprehensive Development,50,BCS1964,,,1003,638.0,BEACH CRES,V6Z 3H4,LOT 50  PLAN BCS1964  NEW WESTMINST,ER DISTRICT LOT FALSE CREEK.,,,,944000.0,390000.0,2022.0,881000.0,364000.0,2006.0,2006.0,3592.37,30,2022
013-737-503,LAND,304722380000,30472238,RS-1,Single Detached House,11,VAP2481,27,37,,5314.0,MCKINNON ST,V5R 4C6,LOT 11  BLOCK 27  PLAN VAP2481  DIS,TRICT LOT 37  NEW WESTMINSTER,,,,1508000.0,79000.0,2023.0,1373000.0,83300.0,1947.0,1975.0,,23,2023
009-664-009,LAND,91795060000,9179506,RS-6,Single Detached House,E,VAP9562,11,526,,1988.0,52ND AVE W,V6P 6H6,LOT E  BLOCK 11  PLAN VAP9562  DIST,RICT LOT 526  NWD OF LOT L.,,,,3149000.0,2462000.0,2023.0,3009000.0,2549000.0,2016.0,2016.0,,10,2023
028-631-111,STRATA,650149060049,65014906,C-3A,Commercial,49,BCS4158,,526,1004,2550.0,SPRUCE ST,V6H 0A8,LOT 49  PLAN BCS4158  DISTRICT LOT,"526  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,724000.0,302000.0,2021.0,686000.0,298000.0,2011.0,2011.0,2998.48,7,2021
